epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,g,m
0,0.0,26.0,26,False,False,(h0*(((((((-((((((l0*(ρl*(ρv/((((-(a/h0))**(-1)))**(2))))))**(2))-g)+fyh))+sv)-h0))**(2)))**(2))+ρv)),"[mul h0 add n2 n2 sub add neg add sub n2 mul l0 mul ρl div ρv n2 inv neg
 a/h0 g fyh sv h0 ρv]",1.0,1.0
0,0.0,25.0,25,False,False,(h0/((-((1.0/((-(((((((((((1.0/(((((((m+a/h0))**(-1)))**(0.5)))**(0.5)))+ρl))**(2)))**(-1)))**(2))+g)+ρh)))**(2)))))**(0.5))),"[div h0 sqrt neg div 1.0 n2 neg add add n2 inv n2 add div 1.0 sqrt sqrt
 inv add m a/h0 ρl g ρh]",1.0,1.0
0,0.0,26.0,26,False,False,-(((-(((((((((((h0)**(-1))*((((fyv/-(((((((((((l0)**(-1))+ρh)+h0))**(0.5)))**(0.5)))**(0.5)))))**(2))-sv)))**(-1))-l0/h))**(0.5)))**(0.5))))**(-1))),"[neg inv neg sqrt sqrt sub inv mul inv h0 sub n2 div fyv neg sqrt sqrt
 sqrt add add inv l0 ρh h0 sv l0/h]",1.0,1.0
0,0.0,25.0,25,False,False,(m/(((((((-((((sin(ρl)*((((((((-(((((((((ρv)**(0.5)))**(-1)))**(2)))**(-1))))**(-1))-fyl))**(0.5)))**(-1))+fc')))**(-1))))**(2)))**(-1))+fyl))**(2))),"[div m n2 add inv n2 neg inv mul sin ρl add inv sqrt sub inv neg inv n2
 inv sqrt ρv fyl fc' fyl]",1.0,1.0
0,0.0,26.0,26,False,False,(h0/(((fyv*(l0/h*-((fyh/((-((((((sh*(((ρh)**(0.5))+g))+b))**(2))+fyl)))**(0.5))))))+1.0)-sv)),"[div h0 sub add mul fyv mul l0/h neg div fyh sqrt neg add n2 add mul sh
 add sqrt ρh g b fyl 1.0 sv]",1.0,1.0
0,0.0,23.0,23,False,False,(((((ρl)**(0.5))*((-((l0/(((((((((((fyl/(((((ρl/b))**(0.5)))**(-1))))**(0.5)))**(0.5))-a/h0))**(0.5))+h0))**(2)))))**(-1))))**(0.5)),"[sqrt mul sqrt ρl inv neg div l0 n2 add sqrt sub sqrt sqrt div fyl inv
 sqrt div ρl b a/h0 h0]",1.0,1.0
0,0.0,29.0,29,False,False,(fc'*(((fyh*-((((-(((ρh/(((a*((((m-fc'))**(-1))-l0))-m)-sh))+ρv))+fc')+h)-sh))))**(0.5))),"[mul fc' sqrt mul fyh neg sub add add neg add div ρh sub sub mul a sub inv
 sub m fc' l0 m sh ρv fc' h sh]",1.0,1.0
0,0.0,24.0,24,False,False,((((-((ρh*((b/m)/(((-((ρl/(g/(((fc'*l0)-ρl)+sv)))))**(0.5))+m)))))**(2)))**(-1)),"[inv n2 neg mul ρh div div b m add sqrt neg div ρl div g add sub mul fc'
 l0 ρl sv m]",1.0,1.0
0,0.0,26.0,26,False,False,((log(a/h0)*((ρh)**(-1)))/(((((((((((ρl/(((((a/(fyl*1.0))+h)+fyv))**(-1))))**(2)))**(-1))+ρv))**(-1)))**(0.5))-a/h0)),"[div mul log a/h0 inv ρh sub sqrt inv add inv n2 div ρl inv add add div a
 mul fyl 1.0 h fyv ρv a/h0]",1.0,1.0
0,0.0,26.0,26,False,False,((-((((((((((-(((((1.0/((((((1.0/(l0-fyh)))**(2))+g))**(-1)))+l0/h)-b)-l0)))**(-1)))**(2)))**(2))-ρl))**(-1))))**(2)),"[n2 neg inv sub n2 n2 inv neg sub sub add div 1.0 inv add n2 div 1.0 sub
 l0 fyh g l0/h b l0 ρl]",1.0,1.0
0,0.0,23.0,23,False,False,-((((((((((l0/h*(((ρl/(a/h0/(a/((fyh*((sh)**(2)))-fyl)))))**(0.5)))-l0/h))**(-1))-fyh))**(-1)))**(2))),"[neg n2 inv sub inv sub mul l0/h sqrt div ρl div a/h0 div a sub mul fyh n2
 sh fyl l0/h fyh]",1.0,1.0
0,0.0,25.0,25,False,False,(-((((fc')**(-1))*(fyl/(fyh*((((((-((((((-(((((m)**(-1)))**(0.5)))+l0)-b))**(0.5))+fc')))**(0.5)))**(0.5)))**(0.5))))))+ρv),"[add neg mul inv fc' div fyl mul fyh sqrt sqrt sqrt neg add sqrt sub add
 neg sqrt inv m l0 b fc' ρv]",1.0,1.0
0,0.0,23.0,23,False,False,(sin(exp((((log(((((l0/fc')/(fyl*(((ρh*(((((1.0)**(2))+fyl))**(-1))))**(2)))))**(0.5))))**(0.5))+h)))/fc'),"[div sin exp add sqrt log sqrt div div l0 fc' mul fyl n2 mul ρh inv add n2
 1.0 fyl h fc']",1.0,1.0
0,0.0,24.0,24,False,False,(log(ρh)*(((((1.0*-(((((exp(l0/h)/(g*(a*(m*m)))))**(2))+ρl)))+h)+l0/h))**(0.5))),"[mul log ρh sqrt add add mul 1.0 neg add n2 div exp l0/h mul g mul a mul m
 m ρl h l0/h]",1.0,1.0
0,0.0,23.0,23,False,False,((((((h/((((((((sh/(1.0*(a/h0*(((((((fc')**(-1)))**(2)))**(-1))+h0))))+l0))**(0.5)))**(-1)))**(2)))+fyh))**(2)))**(-1)),"[inv n2 add div h n2 inv sqrt add div sh mul 1.0 mul a/h0 add inv n2 inv
 fc' h0 l0 fyh]",1.0,1.0
0,0.0,24.0,24,False,False,(((1.0)**(2))*((((sv)**(-1))*(((l0/h/-((ρv/((((fyh/((sv-1.0)-fc')))**(-1))+ρl)))))**(2)))-m)),"[mul n2 1.0 sub mul inv sv n2 div l0/h neg div ρv add inv div fyh sub sub
 sv 1.0 fc' ρl m]",1.0,1.0
